location,address_id,streetsegid,xcoord,ycoord,lat,long,ticket_type,accident_indicator,agency_id,issue_date,issue_time,violation_code,violation_desc
2800 GA AVE NW,284501,11026,398000.82,139814.45,38.92620600000001,-77.023062,MOVING,0,3,2016-02-26,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
2800 GA AVE NW,284501,11026,398000.82,139814.45,38.92620600000001,-77.023062,MOVING,0,3,2016-02-26,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
700 H ST NE,285,404,400360.82,136952.97,38.90043,-76.995846,MOVING,0,1,2016-02-05,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1500 9TH ST NW,225558,7314,397890.06,138005.54,38.90991600000001,-77.024331,MOVING,0,81,2016-02-26,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
3600 16 ST NW,234116,4201,396806.79,140814.54,38.935215,-77.03683649999999,MOVING,0,3,2016-02-29,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
2800 GA AVE NW,284501,11026,398000.82,139814.45,38.92620600000001,-77.023062,MOVING,0,3,2016-02-26,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
EB 2000 BLK BENNING RD NE,814574,12562,402183.88,136751.77,38.89867401708286,-76.97442978475085,MOVING,0,32,2016-02-19,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
S/B 1800 14TH ST NW,310208,8974,397206.7,138487.58,38.914254,-77.03221049999999,MOVING,0,25,2016-02-11,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
600 NEW YORK AVE E/B NW,218682,10485,398254.2,137254.96,38.91205554760723,-76.99566961719479,MOVING,0,3,2016-02-04,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
2400 BLADENSBURG RD NE,803083,2513,402717.47,139344.99,38.92164137097407,-76.96902891175911,MOVING,0,25,2016-02-12,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
3300 BENNING RD NE,300816,6467,403946.62,136559.69,38.896884,-76.954509,MOVING,0,25,2016-02-12,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
4200 NANNIE HELEN BURROUGHS AVE NE*,288132,4813,405037.33,137131.42,38.902023000000014,-76.9419315,MOVING,0,6,2016-02-24,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
